u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
2418345,10442127,4167378,Samantha Young,4.19,389924,27517
2418345,172734,100752,Donita K. Paul,4.06,31000,1438
2418345,13831,8596,Tamora Pierce,4.21,986695,21960
2418345,28187,15872,Rick Riordan,4.30,4780383,191183
2418345,13570162,5047249,Alyssa Rose Ivy,3.99,46547,3522
2418345,11297376,4607856,Heather Hildenbrand,3.95,10803,1364
2418345,10465086,4167378,Samantha Young,4.19,389924,27517
2418345,10713851,4700417,Tammy Blackwell,4.10,19482,1404
2418345,8046350,3486415,Amanda Hocking,3.96,341191,24330
2418345,6600807,3408349,Lili St. Crow,4.01,112220,5560
2418345,7942786,40563,Patricia Briggs,4.24,845095,40351
2418345,3661261,1228468,Felicity Heaton,4.01,39458,3752
2418345,3819326,71688,Nalini Singh,4.19,550387,35495
2418345,6371117,3408349,Lili St. Crow,4.01,112220,5560
2418345,112539,65137,Shelly Laurenston,4.22,155637,8371
2418345,3567200,99642,Rachel Hawthorne,3.90,66686,2846
2418345,4070493,345630,Carrie Jones,3.88,138858,8233
2418345,1582996,150038,Cassandra Clare,4.26,4093208,225218
2418345,3777732,150038,Cassandra Clare,4.26,4093208,225218
2418345,5292853,40563,Patricia Briggs,4.24,845095,40351
2418345,256683,150038,Cassandra Clare,4.26,4093208,225218
2418345,2355575,40563,Patricia Briggs,4.24,845095,40351
2418345,13522957,5769764,Suzanne Wright,4.13,84817,6429
2418345,13421072,5769764,Suzanne Wright,4.13,84817,6429
2418345,13127675,4849861,Belinda Boring,4.10,12395,1302
2418345,13423535,4849861,Belinda Boring,4.10,12395,1302
2418345,3609760,61939,Mark Cotta Vaz,4.29,502013,1105
2418345,16067842,6549315,Michelle  Turner,3.83,1938,121
2418345,6006518,3408349,Lili St. Crow,4.01,112220,5560
2418345,7402393,3041100,Andrea Cremer,4.03,155071,12003
2418345,11947156,5014564,Quinn Loftis,4.38,111473,7096
2418345,13562180,5371025,Micalea Smeltzer,4.10,19718,1824
2418345,6574102,56224,Ally Carter,4.06,540890,33235
2418345,714569,57462,Eva Ibbotson,3.91,92334,7301
2418345,6522885,603838,Sharon Lathan,3.69,9487,974
2418345,6359133,603838,Sharon Lathan,3.69,9487,974
2418345,5960207,603838,Sharon Lathan,3.69,9487,974
2418345,7184830,2905297,Lauren Kate,3.83,780124,38759
2418345,7740152,2905297,Lauren Kate,3.83,780124,38759
2418345,5841508,402788,Toni Blake,3.87,22302,2046
2418345,3051686,175855,Melissa Marr,3.76,338344,21984
2418345,283495,25422,Holly Black,3.86,536880,46347
2418345,187813,11654,Meg Cabot,3.80,1507999,60621
2418345,1456034,11654,Meg Cabot,3.80,1507999,60621
2418345,187812,11654,Meg Cabot,3.80,1507999,60621
